word,pos,chunk,pnp,rol,lemma
Gunshot,NN,B-NP,O,O,gunshot
detection,NN,I-NP,O,O,detection
systems,NNS,I-NP,O,O,system
Sonar,NN,B-NP,O,O,sonar
Guns,NNS,B-NP,O,O,gun
Sonar,NN,B-NP,O,O,sonar
applications,NNS,I-NP,O,O,application
Sonar,NN,B-NP,O,O,sonar
detection,NN,I-NP,O,O,detection
Sonar,NN,B-NP,O,O,sonar
measurements,NNS,I-NP,O,O,measurement
Sonar,NN,B-NP,O,O,sonar
equipment,NN,I-NP,O,O,equipment
Synthetic,JJ,B-NP,O,O,synthetic
aperture,NN,I-NP,O,O,aperture
sonar,NN,I-NP,O,O,sonar
Telemetry,NN,B-NP,O,O,telemetry
Biomedical,JJ,B-NP,O,O,biomedical
telemetry,NN,I-NP,O,O,telemetry
Antennas,NNS,B-NP,O,O,antenna
and,CC,I-NP,O,O,and
propagation,NN,I-NP,O,O,propagation
Antennas,NNS,B-NP,O,O,antenna
Antenna,NN,B-NP,O,O,antenna
accessories,NNS,I-NP,O,O,accessory
Antenna,NN,B-NP,O,O,antenna
arrays,NNS,I-NP,O,O,array
Adaptive,CD,B-NP,O,O,adaptive
arrays,NNS,I-NP,O,O,array
Butler,NNP,B-NP,O,O,butler
matrices,NNS,I-NP,O,O,matrix
Linear,NNP,B-NP,O,O,linear
antenna,NN,I-NP,O,O,antenna
arrays,NNS,I-NP,O,O,array
Log,NN,B-NP,O,O,log
periodic,JJ,I-NP,O,O,periodic
antennas,NNS,I-NP,O,O,antenna
Microstrip,NNP,B-NP,O,O,microstrip
antenna,NN,I-NP,O,O,antenna
arrays,NNS,I-NP,O,O,array
Microwave,NNP,B-NP,O,O,microwave
antenna,NN,I-NP,O,O,antenna
arrays,NNS,I-NP,O,O,array
Phased,VBN,B-VP,O,VP-1,phase
arrays,NNS,B-NP,O,NP-OBJ-1,array
Planar,NNP,B-NP,O,O,planar
arrays,NNS,I-NP,O,O,array
Antenna,NN,B-NP,O,O,antenna
radiation,NN,I-NP,O,O,radiation
patterns,NNS,I-NP,O,O,pattern
Near-field,NN,B-NP,O,O,near-field
radiation,NN,I-NP,O,O,radiation
pattern,NN,I-NP,O,O,pattern
Antenna,NN,B-NP,O,O,antenna
theory,NN,I-NP,O,O,theory
Frequency,NNP,B-NP,O,O,frequency
selective,JJ,I-NP,O,O,selective
surfaces,NNS,I-NP,O,O,surface
Apertures,NNS,B-NP,O,O,aperture
Aperture,NN,B-NP,O,O,aperture
antennas,NNS,I-NP,O,O,antenna
Aperture,NN,B-NP,O,NP-SBJ-1,aperture
coupled,VBN,B-VP,O,VP-1,couple
antennas,NNS,B-NP,O,NP-OBJ-1,antenna
Broadband,CC,O,O,O,broadband
antennas,NNS,B-NP,O,O,antenna
Ultra,NNP,B-NP,O,O,ultra
wideband,CC,I-NP,O,O,wideband
antennas,NNS,I-NP,O,O,antenna
Vivaldi,NNP,B-NP,O,O,vivaldi
antennas,NNS,I-NP,O,O,antenna
Dielectric,NNP,B-NP,O,O,dielectric
resonator,NN,I-NP,O,O,resonator
antennas,NNS,I-NP,O,O,antenna
Dipole,JJ,B-NP,O,O,dipole
antennas,NNS,I-NP,O,O,antenna
Directional,JJ,B-NP,O,O,directional
antennas,NNS,I-NP,O,O,antenna
Directive,NNP,B-NP,O,O,directive
antennas,NNS,I-NP,O,O,antenna
Feeds,NNS,B-NP,O,O,feed
Antenna,NN,B-NP,O,NP-SBJ-1,antenna
feeds,VBZ,B-VP,O,VP-1,feed
Fractal,NNP,B-NP,O,O,fractal
antennas,NNS,I-NP,O,O,antenna
Helical,JJ,B-NP,O,O,helical
antennas,NNS,I-NP,O,O,antenna
Horn,NNP,B-NP,O,O,horn
antennas,NNS,I-NP,O,O,antenna
Leaky,JJ,B-NP,O,O,leaky
wave,NN,I-NP,O,O,wave
antennas,NNS,I-NP,O,O,antenna
Loaded,VBN,B-VP,O,VP-1,load
antennas,NNS,B-NP,O,NP-OBJ-1,antenna
Log-periodic,JJ,B-NP,O,O,log-periodic
