,28,........Propellers,Propellers,2,Aerospace and electronic systems ,Aircraft propulsion,Propellers,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (28, 'Propellers'); "
,29,....Command and control systems,Command and control systems,1,Aerospace and electronic systems ,Command and control systems,,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (29, 'Command and control systems'); "
,30,....Electronic warfare,Electronic warfare,1,Aerospace and electronic systems ,Electronic warfare,,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (30, 'Electronic warfare'); "
,31,........Electronic countermeasures,Electronic countermeasures,2,Aerospace and electronic systems ,Electronic warfare,Electronic countermeasures,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (31, 'Electronic countermeasures'); "
,32,........Jamming ,Jamming ,2,Aerospace and electronic systems ,Electronic warfare,Jamming ,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (32, 'Jamming '); "
,34,........Radar countermeasures,Radar countermeasures,2,Aerospace and electronic systems ,Electronic warfare,Radar countermeasures,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (34, 'Radar countermeasures'); "
,35,....Military equipment,Military equipment,1,Aerospace and electronic systems ,Military equipment,,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (35, 'Military equipment'); "
,36,........Military aircraft,Military aircraft,2,Aerospace and electronic systems ,Military equipment,Military aircraft,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (36, 'Military aircraft'); "
,37,............Payloads,Payloads,3,Aerospace and electronic systems ,Military equipment,Military aircraft,Payloads,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (37, 'Payloads'); "
,38,........Military satellites,Military satellites,2,Aerospace and electronic systems ,Military equipment,Military satellites,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (38, 'Military satellites'); "
,39,........Military vehicles,Military vehicles,2,Aerospace and electronic systems ,Military equipment,Military vehicles,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (39, 'Military vehicles'); "
,40,........Weapons ,Weapons ,2,Aerospace and electronic systems ,Military equipment,Weapons ,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (40, 'Weapons '); "
,42,............Missiles,Missiles,3,Aerospace and electronic systems ,Military equipment,Weapons ,Missiles,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (42, 'Missiles'); "
,43,............Nuclear weapons,Nuclear weapons,3,Aerospace and electronic systems ,Military equipment,Weapons ,Nuclear weapons,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (43, 'Nuclear weapons'); "
,44,............Projectiles,Projectiles,3,Aerospace and electronic systems ,Military equipment,Weapons ,Projectiles,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (44, 'Projectiles'); "
,45,....Radar,Radar,1,Aerospace and electronic systems ,Radar,,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (45, 'Radar'); "
,46,........Airborne radar,Airborne radar,2,Aerospace and electronic systems ,Radar,Airborne radar,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (46, 'Airborne radar'); "
,47,........Bistatic radar,Bistatic radar,2,Aerospace and electronic systems ,Radar,Bistatic radar,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (47, 'Bistatic radar'); "
,48,........Cognitive radar,Cognitive radar,2,Aerospace and electronic systems ,Radar,Cognitive radar,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (48, 'Cognitive radar'); "
,49,........Doppler radar,Doppler radar,2,Aerospace and electronic systems ,Radar,Doppler radar,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (49, 'Doppler radar'); "
,50,........Ground penetrating radar,Ground penetrating radar,2,Aerospace and electronic systems ,Radar,Ground penetrating radar,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (50, 'Ground penetrating radar'); "
,51,........Laser radar,Laser radar,2,Aerospace and electronic systems ,Radar,Laser radar,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (51, 'Laser radar'); "
,52,........Meteorological radar,Meteorological radar,2,Aerospace and electronic systems ,Radar,Meteorological radar,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (52, 'Meteorological radar'); "
,53,........Millimeter wave radar,Millimeter wave radar,2,Aerospace and electronic systems ,Radar,Millimeter wave radar,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (53, 'Millimeter wave radar'); "
,54,........Multistatic radar,Multistatic radar,2,Aerospace and electronic systems ,Radar,Multistatic radar,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (54, 'Multistatic radar'); "
,55,............MIMO radar,MIMO radar,3,Aerospace and electronic systems ,Radar,Multistatic radar,MIMO radar,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (55, 'MIMO radar'); "
,56,........Passive radar,Passive radar,2,Aerospace and electronic systems ,Radar,Passive radar,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (56, 'Passive radar'); "
,57,........Radar applications,Radar applications,2,Aerospace and electronic systems ,Radar,Radar applications,,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (57, 'Radar applications'); "
,58,............Radar countermeasures,Radar countermeasures,3,Aerospace and electronic systems ,Radar,Radar applications,Radar countermeasures,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (58, 'Radar countermeasures'); "
,59,............Radar detection,Radar detection,3,Aerospace and electronic systems ,Radar,Radar applications,Radar detection,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (59, 'Radar detection'); "
,60,............Radar imaging,Radar imaging,3,Aerospace and electronic systems ,Radar,Radar applications,Radar imaging,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (60, 'Radar imaging'); "
,61,............Radar measurements,Radar measurements,3,Aerospace and electronic systems ,Radar,Radar applications,Radar measurements,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (61, 'Radar measurements'); "
,62,............Radar polarimetry,Radar polarimetry,3,Aerospace and electronic systems ,Radar,Radar applications,Radar polarimetry,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (62, 'Radar polarimetry'); "
,63,............Radar remote sensing,Radar remote sensing,3,Aerospace and electronic systems ,Radar,Radar applications,Radar remote sensing,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (63, 'Radar remote sensing'); "
,64,............Radar tracking,Radar tracking,3,Aerospace and electronic systems ,Radar,Radar applications,Radar tracking,"INSERT INTO 2017_IEEE_Taxonomy_v1 (Id, Concept) VALUES (64, 'Radar tracking'); "
