,id_materia,codigo,metodo,cluster,asignatura,titulacion
504,64397,CURSO_PRE-TNCCO084_18,AFFINITY-PROPAGATION,285,GESTIÓN DE PROYECTOS,SISTEMAS INFORMÁTICOS Y COMPUTACIÓN
505,64406,CURSO_PRE-TNCCO071_18,AFFINITY-PROPAGATION,96,LÓGICA DE LA PROGRAMACIÓN,SISTEMAS INFORMÁTICOS Y COMPUTACIÓN
506,64415,CURSO_PRE-TNCCO051_18,AFFINITY-PROPAGATION,199,TEORÍA DE AUTOMATAS Y COMPILADORES,SISTEMAS INFORMÁTICOS Y COMPUTACIÓN
507,64424,CURSO_PRE-TNCCO079_18,AFFINITY-PROPAGATION,270,PRÁCTICA EN CITTES GP 2.1,SISTEMAS INFORMÁTICOS Y COMPUTACIÓN
508,64643,CURSO_PRE-TNCCO082_18,AFFINITY-PROPAGATION,270,PRÁCTICA EN CITTES GP 2.2,SISTEMAS INFORMÁTICOS Y COMPUTACIÓN
509,64853,CURSO_PRE-TNCCO083_18,AFFINITY-PROPAGATION,271,FORMACIÓN EN ACADEMIAS GP 3.1,SISTEMAS INFORMÁTICOS Y COMPUTACIÓN
510,64862,CURSO_PRE-TNCCO029_18,AFFINITY-PROPAGATION,139,FÍSICA,SISTEMAS INFORMÁTICOS Y COMPUTACIÓN
511,64871,CURSO_UTPL-TN0174_18,AFFINITY-PROPAGATION,60,LENGUAJES ARTÍSTICOS COMBINADOS,ARTES PLÁSTICAS Y DISEÑO
512,64880,CURSO_PRE-TNADI071_18,AFFINITY-PROPAGATION,90,GESTIÓN PRODUCTIVA GP 1.1,ARTES PLÁSTICAS Y DISEÑO
513,65128,CURSO_PRE-TNADI072_18,AFFINITY-PROPAGATION,273,HISTORIA DEL ARTE II,ARTES PLÁSTICAS Y DISEÑO
514,65137,CURSO_PRE-TNADI094_18,AFFINITY-PROPAGATION,48,PROYECTO DE FIN DE CARRERA GP 4.1,ARTES PLÁSTICAS Y DISEÑO
515,65388,CURSO_PRE-TNADI064_18,AFFINITY-PROPAGATION,140,ESCULTURA I,ARTES PLÁSTICAS Y DISEÑO
516,65397,CURSO_PRE-TNADI063_18,AFFINITY-PROPAGATION,60,DIBUJO ARTÍSTICO Y PINTURA I,ARTES PLÁSTICAS Y DISEÑO
517,65406,CURSO_PRE-TNADI085_18,AFFINITY-PROPAGATION,273,HISTORIA DEL ARTE IV,ARTES PLÁSTICAS Y DISEÑO
518,65415,CURSO_PRE-TNADI065_18,AFFINITY-PROPAGATION,141,CERÁMICA I,ARTES PLÁSTICAS Y DISEÑO
519,65424,CURSO_PRE-TNADI088_18,AFFINITY-PROPAGATION,278,GESTIÓN PRODUCTIVA GP 2.2,ARTES PLÁSTICAS Y DISEÑO
520,65628,CURSO_PRE-TNADI034_18,AFFINITY-PROPAGATION,274,DISEÑO III,ARTES PLÁSTICAS Y DISEÑO
521,65637,CURSO_PRE-TNADI084_18,AFFINITY-PROPAGATION,51,DISEÑO V,ARTES PLÁSTICAS Y DISEÑO
