,id_materia,codigo,metodo,cluster,asignatura,titulacion
151,16329,CURSO_PRE-TNAE048_18,HIERARCHY,33,PROYECTO DE FIN DE CARRERA 4.2,ADMINISTRACIÓN DE EMPRESAS
152,16338,CURSO_UTPL-TNABF001_18,HIERARCHY,42,MATEMÁTICA FINANCIERA,ADMINISTRACIÓN DE EMPRESAS
153,16898,CURSO_UTPL-TNICA014_18,HIERARCHY,307,PRESUPUESTOS,ADMINISTRACIÓN DE EMPRESAS
154,17395,CURSO_PRE-TNAE052_18,HIERARCHY,21,GESTIÓN PRODUCTIVA  2,ADMINISTRACIÓN DE EMPRESAS
155,17598,CURSO_UTPL-TNICA008_18,HIERARCHY,130,LEGISLACIÓN Y PRÁCTICA TRIBUTARIA,ADMINISTRACIÓN DE EMPRESAS
156,18031,CURSO_PRE-TNAE051_18,HIERARCHY,10,GESTIÓN PRODUCTIVA 1,ADMINISTRACIÓN DE EMPRESAS
157,18040,CURSO_UTPL-TNAE006_18,HIERARCHY,410,MICROECONOMÍA,ADMINISTRACIÓN DE EMPRESAS
158,18485,CURSO_PRE-TNAE055_18,HIERARCHY,1,GESTIÓN PRODUCTIVA 3.2,ADMINISTRACIÓN DE EMPRESAS
159,18708,CURSO_UTPL-TN-ABF013_18,HIERARCHY,361,COMERCIO EXTERIOR,ADMINISTRACIÓN DE EMPRESAS
160,18717,CURSO_PRE-TNAE204_18,HIERARCHY,395,ESTRATEGIAS GERENCIALES,ADMINISTRACIÓN DE EMPRESAS
161,18726,CURSO_UTPL-TNAE012_18,HIERARCHY,425,DESARROLLO ORGANIZACIONAL,ADMINISTRACIÓN DE EMPRESAS
162,18735,CURSO_UTPL-TNEC006_18,HIERARCHY,507,ESTADÍSTICA II,ADMINISTRACIÓN DE EMPRESAS
163,19415,CURSO_PRE-TNAE053_18,HIERARCHY,3,GESTIÓN PRODUCTIVA 3.1,ADMINISTRACIÓN DE EMPRESAS
164,19640,CURSO_UTPL-TNAE005_18,HIERARCHY,511,ADMINISTRACIÓN I,ADMINISTRACIÓN DE EMPRESAS
165,20126,CURSO_UTPL-TNAE009_18,HIERARCHY,515,ADMINISTRACIÓN DE RECURSOS HUMANOS,ADMINISTRACIÓN DE EMPRESAS
166,20135,CURSO_UTPL-TN-ABF006_18,HIERARCHY,625,FINANZAS I,ADMINISTRACIÓN DE EMPRESAS
167,20603,CURSO_UTPL-TNICA002_18,HIERARCHY,61,CONTABILIDAD GENERAL,ADMINISTRACIÓN DE EMPRESAS
168,21208,CURSO_PRE-TNAE062_18,HIERARCHY,12,GESTIÓN PRODUCTIVA 4.1,ADMINISTRACIÓN DE EMPRESAS
169,21436,CURSO_UTPL-TNAE015_18,HIERARCHY,420,LOGÍSTICA EMPRESARIAL,ADMINISTRACIÓN DE EMPRESAS
170,21445,CURSO_UTPL-TNICA005_18,HIERARCHY,594,CÁLCULO,ADMINISTRACIÓN DE EMPRESAS
171,21454,CURSO_PRE-TNAE063_18,HIERARCHY,14,GESTIÓN PRODUCTIVA 4.2,ADMINISTRACIÓN DE EMPRESAS
172,21662,CURSO_PRE-TNAE054_18,HIERARCHY,586,PROYECTOS,ADMINISTRACIÓN DE EMPRESAS
173,22097,CURSO_UTPL-TNICA001_18,HIERARCHY,134,LEGISLACIÓN MERCANTIL Y SOCIETARIA,ADMINISTRACIÓN DE EMPRESAS
174,22106,CURSO_UTPL-TN-ABF014_18,HIERARCHY,518,ADMINISTRACIÓN ESTRATÉGICA,ADMINISTRACIÓN DE EMPRESAS
175,22500,CURSO_PRE-TNHT093_18,HIERARCHY,431,FRANCÉS III,GASTRONOMÍA
176,22509,CURSO_PRE-TNHT087_18,HIERARCHY,534,FRANCÉS I,GASTRONOMÍA
177,23198,CURSO_UTPL-TN0073_18,HIERARCHY,380,INNOVACION EN EL SERVICIO,GASTRONOMÍA
178,23207,CURSO_UTPL-TNHT015_18,HIERARCHY,135,LEGISLACIÓN TURÍSTICA,GASTRONOMÍA
179,23546,CURSO_UTPL-TN0067_18,HIERARCHY,433,SERVICIOS III,GASTRONOMÍA
180,23555,CURSO_UTPL-TN0032_18,HIERARCHY,5,GESTIÓN PRODUCTIVA 2.1,GASTRONOMÍA
181,23564,CURSO_UTPL-TN0072_18,HIERARCHY,26,PROYECTO DE FIN DE CARRERA 4.1,GASTRONOMÍA
182,23797,CURSO_UTPL-TNICA006_18,HIERARCHY,63,CONTABILIDAD DE COSTOS,GASTRONOMÍA
183,24218,CURSO_UTPL-TN0068_18,HIERARCHY,71,GESTION PRODUCTIVA 3.1,GASTRONOMÍA
184,24496,CURSO_PRE-TNGAS005_18,HIERARCHY,17,GESTIÓN PRODUCTIVA 1.2,GASTRONOMÍA
185,24505,CURSO_PRE-TNHT099_18,HIERARCHY,601,FRANCÉS II,GASTRONOMÍA
186,24514,CURSO_PRE-TNHT092_18,HIERARCHY,289,INGLÉS V,GASTRONOMÍA
187,24523,CURSO_UTPL-TNCS016_18,HIERARCHY,354,PUBLICIDAD,COMUNICACIÓN SOCIAL
188,24532,CURSO_UTPL-TNCS021_18,HIERARCHY,347,ÉTICA PERIODÍSTICA,COMUNICACIÓN SOCIAL
189,24541,CURSO_UTPL-TNCS014_18,HIERARCHY,140,RELACIONES PÚBLICAS,COMUNICACIÓN SOCIAL
190,24550,CURSO_UTPL-TNCS020_18,HIERARCHY,519,ADMINISTRACIÓN DE MEDIOS,COMUNICACIÓN SOCIAL
191,24559,CURSO_UTPL-TNCS022_18,HIERARCHY,183,MARKETING,COMUNICACIÓN SOCIAL
192,24568,CURSO_UTPL-TNCS008_18,HIERARCHY,479,TEORÍA DE LA IMAGEN,COMUNICACIÓN SOCIAL
193,24577,CURSO_PRE-TNCS067_18,HIERARCHY,31,PROYECTO DE FIN DE CARRERA GP 4.2,COMUNICACIÓN SOCIAL
