,id_materia,codigo,metodo,cluster,asignatura,titulacion
1002,209850,CURSO_PRE-TNGMI070_20,HIERARCHY,280,BENEFIT OF MINERALS,GEOLOGÍA Y MINAS
1003,210320,CURSO_PRE-TNGMI102_20,HIERARCHY,280,FOUNDATIONS,GEOLOGÍA Y MINAS
1004,210739,CURSO_UTPL-TN0214_20,HIERARCHY,280,PYROMETALLURGY OF COPPER,GEOLOGÍA Y MINAS
1005,211496,CURSO_PRE-TNETE082_20,HIERARCHY,253,BASIC ELECTRONIC,ELECTRÓNICA Y TELECOMUNICACIONES
1006,211806,CURSO_PRE-TNETE085_20,HIERARCHY,216,SCIENCE TECHNOLOGY AND SOCIETY,ELECTRÓNICA Y TELECOMUNICACIONES
1007,212007,CURSO_PRE-TNETE109_20,HIERARCHY,234,NETWORK SECURITY,ELECTRÓNICA Y TELECOMUNICACIONES
1008,212460,CURSO_PRE-TNETE114_20,HIERARCHY,291,ENGINEERING PROJECTS,ELECTRÓNICA Y TELECOMUNICACIONES
1009,212935,CURSO_PRE-TNETE102_20,HIERARCHY,21,PRODUCTIVE MANAGEMENT GP 3,ELECTRÓNICA Y TELECOMUNICACIONES
1010,213136,CURSO_PRE-TNETE092_20,HIERARCHY,183,PROCESSING OF ANALOGUE AND DIGITAL SIGNALS,ELECTRÓNICA Y TELECOMUNICACIONES
1011,213557,CURSO_PRE-TNETE108_20,HIERARCHY,280,PROPAGATION OF WAVES,ELECTRÓNICA Y TELECOMUNICACIONES
1012,214021,CURSO_UTPL-TNCCO080_20,HIERARCHY,202,COMPUTER ARCHITECTURE,ELECTRÓNICA Y TELECOMUNICACIONES
1013,214451,CURSO_PRE-TNETE078_20,HIERARCHY,280,INTERCONNECTION OF TELECOMMUNICATIONS SERVICES,ELECTRÓNICA Y TELECOMUNICACIONES
1014,214705,CURSO_PRE-TNETE091_20,HIERARCHY,185,EMBEDDED SYSTEMS,ELECTRÓNICA Y TELECOMUNICACIONES
1015,215012,CURSO_DIST-TNCCO007_20,HIERARCHY,234,SECURITY OF THE INFORMATION,SISTEMAS INFORMÁTICOS Y COMPUTACIÓN
1016,215459,CURSO_PRE-TNETE100_20,HIERARCHY,280,ANTENNAS,ELECTRÓNICA Y TELECOMUNICACIONES
1017,215760,CURSO_PRE-TNETE110_20,HIERARCHY,35,END OF CAREER PROJECT GP 4,ELECTRÓNICA Y TELECOMUNICACIONES
1018,216002,CURSO_PRE-TNETE083_20,HIERARCHY,218,BASICS OF ELECTRICITY,ELECTRÓNICA Y TELECOMUNICACIONES
1019,216257,CURSO_PRE-TNETE093_20,HIERARCHY,145,THEORY OF ELECTROMAGNETIC FIELDS,ELECTRÓNICA Y TELECOMUNICACIONES
1020,216650,CURSO_PRE-TNETE101_20,HIERARCHY,147,THEORY OF AUTOMATIC CONTROL,ELECTRÓNICA Y TELECOMUNICACIONES
1021,216954,CURSO_PRE-TNETE094_20,HIERARCHY,16,PRODUCTIVE MANAGEMENT GP 2,ELECTRÓNICA Y TELECOMUNICACIONES
1022,217155,CURSO_PRE-TNETE084_20,HIERARCHY,289,CALCULUS,ELECTRÓNICA Y TELECOMUNICACIONES
1023,217601,CURSO_PRE-TNETE090_20,HIERARCHY,10,PRODUCTIVE MANAGEMENT GP 1,ELECTRÓNICA Y TELECOMUNICACIONES
1024,217846,CURSO_PRE-TNETE099_20,HIERARCHY,280,RADIO FREQUENCY ELECTRONICS,ELECTRÓNICA Y TELECOMUNICACIONES
