1000;"Multidisciplinary";http://dbpedia.org/resource/Multidisciplinary;
1100;"General Agricultural and Biological Sciences";http://dbpedia.org/resource/Biological_Sciences;
1101;"Agricultural and Biological Sciences (miscellaneous)";http://dbpedia.org/resource/Agricultural;http://dbpedia.org/resource/Biological_Sciences;
1102;"Agronomy and Crop Science";http://dbpedia.org/resource/Agronomy;http://dbpedia.org/resource/Category:Agronomy;http://dbpedia.org/resource/Crop_Science;
1103;"Animal Science and Zoology";http://dbpedia.org/resource/Animal_Science;http://dbpedia.org/resource/Zoology;http://dbpedia.org/resource/Category:Zoology;
1104;"Aquatic Science";http://dbpedia.org/resource/Aquatic_Science;
1105;"Ecology Evolution Behavior and Systematics";http://dbpedia.org/resource/Systematics;
1106;"Food Science";http://dbpedia.org/resource/Food_Science;
1107;"Forestry";http://dbpedia.org/resource/Category:Forestry;http://dbpedia.org/resource/Forestry;
1108;"Horticulture";http://dbpedia.org/resource/Category:Horticulture;http://dbpedia.org/resource/Horticulture;
1109;"Insect Science";
1110;"Plant Science";http://dbpedia.org/resource/Plant_Science;
1111;"Soil Science";http://dbpedia.org/resource/Soil_Science;
1200;"General Arts and Humanities";http://dbpedia.org/resource/Humanities;http://dbpedia.org/resource/Category:Humanities;
1201;"Arts and Humanities (miscellaneous)";http://dbpedia.org/resource/Category:Arts;http://dbpedia.org/resource/Arts;http://dbpedia.org/resource/Humanities;http://dbpedia.org/resource/Category:Humanities;
1202;"History";http://dbpedia.org/resource/Category:History;http://dbpedia.org/resource/History;
1203;"Language and Linguistics";http://dbpedia.org/resource/Category:Language;http://dbpedia.org/resource/Language;http://dbpedia.org/resource/Category:Linguistics;http://dbpedia.org/resource/Linguistics;
1204;"Archaeology";http://dbpedia.org/resource/Category:Archaeology;http://dbpedia.org/resource/Archaeology;
1205;"Classics";http://dbpedia.org/resource/Classics;
1206;"Conservation";http://dbpedia.org/resource/Category:Conservation;http://dbpedia.org/resource/Conservation;
1207;"History and Philosophy of Science";http://dbpedia.org/resource/History_and_Philosophy_of_Science;
1208;"Literature and Literary Theory";http://dbpedia.org/resource/Category:Literature;http://dbpedia.org/resource/Literature;http://dbpedia.org/resource/Literary_Theory;
1209;"Museology";http://dbpedia.org/resource/Museology;http://dbpedia.org/resource/Category:Museology;
1210;"Music";http://dbpedia.org/resource/Category:Music;http://dbpedia.org/resource/Music;
